DOOR,IS_OPENED,IS_UNLOCKED,IS_VISIBLE,PASSWORD,IS_BROKEN
J4,CLOSED,LOCKED,FALSE,OMARHAYAM,NOMINAL
M5,CLOSED,LOCKED,TRUE,ALFAHD,NOMINAL
T6,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
N7,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
K9,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
L10,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
P10,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
V10,CLOSED,LOCKED,TRUE,NONE,NOMINAL
N13,CLOSED,UNLOCKED,TRUE,ALFAHD,NOMINAL
K15,OPENED,UNLOCKED,TRUE,NONE,MALFUNCTION
V15,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
F19,CLOSED,UNLOCKED,TRUE,NONE,MALFUNCTION
K19,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
R20,CLOSED,UNLOCKED,TRUE,NONE,MALFUNCTION
V20,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
H21,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
P21,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
S22,CLOSED,LOCKED,TRUE,ALFAHD,NOMINAL
O24,CLOSED,LOCKED,TRUE,ALFAHD,NOMINAL
M25,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
F26,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
I26,CLOSED,UNLOCKED,TRUE,NONE,NOMINAL
T12,CLOSED,LOCKED,FALSE,OMARHAYAM,NOMINAL
M26,CLOSED,LOCKED,FALSE,OMARHAYAM,NOMINAL
V23,CLOSED,LOCKED,FALSE,OMARHAYAM,NOMINAL
Q7,CLOSED,LOCKED,FALSE,OMARHAYAM,NOMINAL
K8,CLOSED,LOCKED,TRUE,NONE,NOMINAL
K13,CLOSED,LOCKED,TRUE,NONE,NOMINAL
G22,CLOSED,LOCKED,TRUE,NONE,NOMINAL
